;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
0;Nathan Caldeira;692.104.758-01;juliana41@example.com;"Condomínio Peixoto, 312
Canaa
62269-855 Cardoso / PA";Santo Agostinho;('RR', 'Roraima');Amazonas;SE;+55 01 92729 8314;Irlanda;MH;"VISA 16 digit
Paulo Dias
4450112799920921 06/32
CVC: 882
";4640405607016226;12/25;097;1991-11-07;2011-05-21 09:03:01;2025-07-31
1;Vicente Ribeiro;280.956.713-12;bruna33@example.com;"Trevo Lopes, 81
Sion
90436767 Nogueira do Sul / RN";Vila Santa Monica 1ª Seção;('RR', 'Roraima');Acre;PB;+55 (04) 90895 5537;Tajiquistão;BZ;"VISA 19 digit
Carlos Eduardo Pereira
4265395891737962837 11/33
CVC: 871
";3556899725604158;10/27;3302;1982-02-14;2021-03-06 16:21:14;2025-07-31
2;Srta. Amanda Viana;347.506.912-16;lara76@example.org;"Praia Vitória Novaes, 524
São Damião
03465769 Rezende da Praia / RR";Vila Nova;('SC', 'Santa Catarina');Acre;MT;+55 39 94834-5307;Vanuatu;VA;"Discover
Maria Cecília Castro
6513678512586512 04/31
CVC: 658
";4685558222091;07/26;044;1980-01-14;2000-10-06 03:14:05;2025-07-31
3;Mariana Vieira;057.413.689-48;salescaua@example.com;"Vereda Novaes, 30
Vila Sesc
74898696 Barbosa / AM";Alta Tensão 1ª Seção;('AC', 'Acre');Distrito Federal;ES;+55 (88) 98978 4200;Coral Sea Islands;LB;"Mastercard
Luigi Cunha
2300160585756914 05/30
CVV: 697
";30270510012944;05/34;800;1976-09-29;1974-05-22 21:09:14;2025-07-31
4;Dr. Marcelo Ramos;249.018.673-69;vitor70@example.org;"Vale Maria Luiza Silveira, 24
São João Batista
92482-648 Silveira do Sul / CE";Vila Jardim Montanhes;('AP', 'Amapá');Santa Catarina;PR;+55 (045) 99120-9151;Guiné Equatorial;VC;"JCB 15 digit
Sophie Araújo
180017493570127 10/31
CVC: 162
";3526594747202753;05/30;378;1973-01-01;1994-12-07 19:08:41;2025-07-31
5;Dr. Luiz Felipe Ferreira;985.106.237-59;danilobarros@example.com;"Loteamento Bárbara Ramos
Vila Paris
81540-152 Castro Paulista / TO";Vila Da Luz;('PA', 'Pará');Santa Catarina;PR;+55 62 9 2115-0367;Ilhas Turcas e Caicos;BT;"VISA 19 digit
Raul Cardoso
4013904809528901432 11/32
CVC: 259
";6548931921393668;02/29;974;2012-06-23;1997-07-13 10:46:34;2025-07-31
6;Juliana Alves;045.837.921-23;nataliavieira@example.net;"Campo de Gomes
Vila Oeste
86517051 Freitas de Gonçalves / RO";Piratininga;('ES', 'Espírito Santo');Sergipe;GO;+55 (43) 9 9787 8410;Suazilândia;LB;"JCB 15 digit
Mariane Novaes
180071074378822 03/26
CVC: 385
";4495270218699985304;12/30;024;1973-11-18;2000-12-22 10:32:50;2025-07-31
7;Bryan Lima;210.764.859-01;cardosoanthony@example.net;"Alameda de Farias, 4
Nova Pampulha
85261-940 Moura do Amparo / PB";Vila Piratininga;('GO', 'Goiás');Piauí;PR;+55 42 97092 3224;Haiti;MZ;"Diners Club / Carte Blanche
Maria Sophia Cunha
30154948581565 10/27
CVC: 951
";4992757423680;07/30;328;1998-12-06;2006-09-12 11:21:31;2025-07-31
8;Ana Luiza Costela;048.975.123-79;djesus@example.net;"Viaduto Caldeira, 2
Maria Goretti
47660873 da Rosa / DF";Vila Betânia;('SE', 'Sergipe');Ceará;RN;+55 48 90328 4208;São Tomé e Príncipe;CA;"JCB 15 digit
Joaquim Freitas
180041915241646 06/28
CVC: 348
";348328415282538;06/29;452;1990-11-03;1982-08-01 15:26:15;2025-07-31
9;Marcos Vinicius Correia;890.276.534-29;ana-beatriz94@example.net;"Vila de Rocha, 256
Jardim Atlântico
25543788 da Rosa de Cavalcanti / PA";Maria Tereza;('MG', 'Minas Gerais');Paraíba;CE;+55 (25) 9 3179-9610;Palau;NG;"Maestro
Eloah Cardoso
585697238046 12/26
CVV: 941
";4358972126262898658;08/33;674;2008-11-25;1986-02-28 02:40:24;2025-07-31
